date,value_mean,value_std,value_min,value_max,hourly_count,locationId,location,parameter,unit,latitude,longitude,country,city
2022-01-01,90.755,75.76191907949993,30.55,290.0,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-02,76.41708333333334,39.50585806634214,22.73,180.42,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-03,107.97375,63.62499835568461,29.49,290.0,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-04,102.11958333333332,73.01742743013132,22.69,290.0,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-05,101.19416666666666,70.2420461173621,22.72,290.0,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-06,74.04208333333334,44.94233154873288,28.94,197.89,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-07,104.8625,64.0118579537858,21.33,241.92,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-08,63.40291666666667,37.1016814899818,13.79,145.01,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-09,67.62625,44.77311876100387,15.12,184.32,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-10,84.015,48.017641776113194,22.36,184.66,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-11,98.68083333333334,68.62174474209525,14.57,290.0,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-12,96.05291666666666,70.06582746303442,23.13,248.44,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-13,95.47958333333334,59.8029622269933,18.82,290.0,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-14,80.71625,42.230880604486984,28.97,162.22,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-15,95.21708333333333,59.839794486333815,18.39,232.14,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-16,83.76708333333333,48.0301627584318,16.85,216.24,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-17,106.16958333333334,61.19631549573571,36.62,255.14,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-18,84.27458333333333,58.72580123126141,21.5,243.49,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-19,98.96041666666667,54.039577805383146,32.58,250.21,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-20,84.69791666666667,54.02466908167099,33.61,237.54,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-21,82.57875,42.520885641774555,27.88,182.93,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-22,63.9325,44.46225710107101,17.55,232.42,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-23,60.69291666666666,33.37990732255437,15.83,149.04,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-24,95.24833333333333,53.0672591001815,29.03,242.87,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
2022-01-25,85.81875000000001,41.946851911986045,26.22,167.0,24,4902926,Sputnik-4,pm25,µg/m³,41.204655,69.232522,UZ,Tashkent
